query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
axtansantin untuk apa,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
bagaimana cara memasukkan,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
bagaimana cara membuatnya,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,informational,False
bagaimana cara memutihkan ketiak,0,0,0,,13,1,12,0.0,0.0,,50.8,64.0,-13.2,0,0,0,19,stable,informational,False
bahan aktif skincare apa saja,0,0,0,,1,0,1,0.0,0.0,,66.0,,,0,0,0,1,stable,informational,False
bahan skincare apa yang cocok digunakan di cuaca lembap?,0,0,0,,11,0,11,0.0,0.0,,9.1,,,0,0,0,11,stable,informational,False
balm itu apa,0,0,0,,0,1,-1,0.0,0.0,,,12.0,,0,0,0,1,stable,informational,False
bau alkohol parfum seperti apa,0,0,0,,8,4,4,0.0,0.0,,10.5,8.5,2.0,0,0,0,12,stable,informational,False
berapa lama biasanya terlihat hasil perbaikan warna kulit ketiak?,0,0,0,,2,0,2,0.0,0.0,,3.0,,,0,0,0,2,stable,informational,False
berapa lama hb dosting bekerja,0,0,0,,5,0,5,0.0,0.0,,10.4,,,0,0,0,5,stable,informational,False
berapa persen niacinamide untuk wajah,0,0,0,,1,0,1,0.0,0.0,,51.0,,,0,0,0,1,stable,informational,False
biome gel ponds untuk apa,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,informational,False
body care trend,0,0,0,,0,2,-2,0.0,0.0,,,3.0,,0,0,0,2,stable,informational,False
body trend 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
bodycare trends 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
calendula soothing gel untuk apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
cara affiliate shopee di instagram,0,0,0,,0,3,-3,0.0,0.0,,,1.0,,0,0,0,3,stable,informational,False
cara agar instagram ada keranjang kuning,0,0,0,,24,0,24,0.0,0.0,,5.2,,,0,0,0,24,stable,informational,False
cara agar ketiak putih,0,0,0,,12,1,11,0.0,0.0,,50.0,87.0,-37.0,0,0,0,15,stable,informational,False
cara agar parfum tidak bau alkohol,0,0,0,,0,3,-3,0.0,0.0,,,11.0,,0,0,0,3,stable,informational,False
cara agar reels ig muncul di feed,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,14,stable,informational,False
cara agar reels muncul di feed instagram,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,9,stable,informational,False
cara aktifkan affiliate instagram,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,informational,False
cara aktifkan keranjang di ig,0,1,-1,-100.0,17,8,9,4.0,12.5,-8.5,5.1,3.8,1.4,0,0,1,25,stable,informational,False
cara aktifkan keranjang di instagram,4,11,-7,-63.6,91,159,-68,4.4,6.92,-2.52,2.9,2.6,0.3,0,1,18,348,declining,informational,False
