query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
maklon kosmetik bandung,2,2,0,0.0,151,145,6,1.32,1.38,-0.05,11.6,12.0,-0.4,0,1,4,315,declining,commercial,False
maklon kosmetik bekasi,0,0,0,,27,1,26,0.0,0.0,,13.6,42.0,-28.4,0,0,0,28,stable,commercial,False
maklon kosmetik halal,0,0,0,,5,11,-6,0.0,0.0,,15.8,15.0,0.8,0,0,0,24,stable,commercial,False
maklon kosmetik jogja,1,0,1,100,5,0,5,20.0,0.0,,15.2,,,1,0,1,5,growing,commercial,False
maklon kosmetik makassar,3,3,0,0.0,27,51,-24,11.11,5.88,5.23,15.7,12.8,2.9,2,1,6,107,growing,commercial,False
maklon kosmetik palembang,0,0,0,,3,0,3,0.0,0.0,,19.0,,,0,0,0,5,stable,commercial,False
maklon kosmetik sidoarjo,3,1,2,200.0,60,91,-31,5.0,1.1,3.9,14.9,16.8,-1.9,0,3,4,184,declining,commercial,False
maklon kosmetik tangerang,0,0,0,,78,100,-22,0.0,0.0,,17.9,17.1,0.8,0,0,0,196,stable,commercial,False
maklon kosmetik terbaik,3,1,2,200.0,217,280,-63,1.38,0.36,1.03,14.8,23.2,-8.4,3,0,4,665,growing,commercial,False
maklon kosmetik terbaik di indonesia,1,0,1,100,71,61,10,1.41,0.0,,11.5,20.6,-9.1,0,1,1,146,declining,commercial,False
maklon krim kaki,0,0,0,,56,60,-4,0.0,0.0,,11.1,7.9,3.2,0,0,0,318,stable,commercial,False
maklon krim mata,0,0,0,,23,40,-17,0.0,0.0,,19.7,46.5,-26.7,0,0,0,136,stable,commercial,False
maklon krim ruam popok,0,0,0,,33,21,12,0.0,0.0,,15.6,15.5,0.1,0,0,0,91,stable,commercial,False
maklon lip balm,0,0,0,,2,0,2,0.0,0.0,,19.5,,,0,0,0,2,stable,commercial,False
maklon lip oil,0,0,0,,2,0,2,0.0,0.0,,17.0,,,0,0,0,2,stable,commercial,False
maklon lip serum,2,0,2,100,12,0,12,16.67,0.0,,13.6,,,2,0,2,12,growing,commercial,False
maklon losion bayi,0,0,0,,38,39,-1,0.0,0.0,,15.0,38.9,-24.0,0,0,0,192,stable,commercial,False
maklon lotion bayi,0,0,0,,12,38,-26,0.0,0.0,,19.5,20.1,-0.6,0,0,0,50,stable,commercial,False
maklon lulur dan body scrub,0,0,0,,2,0,2,0.0,0.0,,18.0,,,0,0,0,2,stable,commercial,False
maklon make up,0,0,0,,16,0,16,0.0,0.0,,16.5,,,0,0,0,16,stable,commercial,False
maklon masker rambut,0,0,0,,40,54,-14,0.0,0.0,,13.4,21.8,-8.4,0,0,0,165,stable,commercial,False
maklon minyak bayi,0,0,0,,40,28,12,0.0,0.0,,13.6,50.0,-36.4,0,0,0,87,stable,commercial,False
maklon minyak telon,0,0,0,,1,0,1,0.0,0.0,,18.0,,,0,0,0,1,stable,commercial,False
maklon parfum terdekat,1,0,1,100,14,90,-76,7.14,0.0,,13.9,17.6,-3.7,0,1,1,228,declining,commercial,False
maklon peeling serum,0,0,0,,4,0,4,0.0,0.0,,13.2,,,0,0,0,4,stable,commercial,False
maklon pelembap,0,0,0,,14,15,-1,0.0,0.0,,19.1,14.3,4.8,0,0,0,200,stable,commercial,False
maklon pelembap bayi,0,0,0,,37,83,-46,0.0,0.0,,17.0,23.7,-6.7,0,0,0,373,stable,commercial,False
maklon perawatan kulit kepala,0,0,0,,49,135,-86,0.0,0.0,,15.4,24.6,-9.2,0,0,0,429,stable,commercial,False
maklon perawatan pria,0,0,0,,8,9,-1,0.0,0.0,,16.1,15.3,0.8,0,0,0,17,stable,commercial,False
maklon pomade,2,0,2,100,2,0,2,100.0,0.0,,15.0,,,2,0,3,3,growing,commercial,False
maklon sabun,0,0,0,,1,3,-2,0.0,0.0,,11.0,22.7,-11.7,0,0,0,5,stable,commercial,False
maklon sabun antibakteri,0,0,0,,13,12,1,0.0,0.0,,11.9,18.8,-6.8,0,0,0,69,stable,commercial,False
maklon sabun baby,0,0,0,,93,99,-6,0.0,0.0,,16.0,46.7,-30.7,0,0,0,380,stable,commercial,False
maklon sabun mandi bayi,0,0,0,,43,48,-5,0.0,0.0,,19.4,36.2,-16.8,0,0,0,132,stable,commercial,False
maklon sabun pemutih (pencerah),0,0,0,,44,36,8,0.0,0.0,,15.2,28.7,-13.5,0,0,0,125,stable,commercial,False
maklon sampo bayi,0,0,0,,43,50,-7,0.0,0.0,,14.5,27.5,-13.0,0,0,0,230,stable,commercial,False
maklon serum,2,0,2,100,29,29,0,6.9,0.0,,12.6,41.4,-28.9,1,1,2,117,stable,commercial,False
maklon serum rambut,0,0,0,,47,53,-6,0.0,0.0,,17.7,28.6,-10.8,0,0,0,187,stable,commercial,False
maklon setting spray,0,0,0,,3,0,3,0.0,0.0,,17.0,,,0,0,0,3,stable,commercial,False
maklon skincare bandung,1,2,-1,-50.0,208,262,-54,0.48,0.76,-0.28,13.5,11.3,2.2,0,1,3,495,declining,commercial,False
maklon skincare jakarta,1,1,0,0.0,88,174,-86,1.14,0.57,0.56,19.0,19.1,-0.1,0,1,2,544,declining,commercial,False
maklon skincare pria,0,0,0,,67,122,-55,0.0,0.0,,14.5,16.3,-1.8,0,0,0,511,stable,commercial,False
maklon sunblock,0,0,0,,24,39,-15,0.0,0.0,,11.3,20.5,-9.2,0,0,0,116,stable,commercial,False
maklon sunscreen,2,0,2,100,77,44,33,2.6,0.0,,11.5,18.8,-7.2,1,1,2,183,stable,commercial,False
maklon tangerang,0,1,-1,-100.0,17,27,-10,2.27,3.7,-1.43,20.0,16.0,4.0,0,0,1,44,stable,commercial,False
maklon toner,0,0,0,,13,7,6,0.0,0.0,,12.2,38.9,-26.6,0,0,0,57,stable,commercial,False
makloon parfum bandung,0,0,0,,2,0,2,0.0,0.0,,11.0,,,0,0,0,2,stable,local,False
manfaat akar ginseng untuk rambut,0,0,0,,5,0,5,0.0,0.0,,19.8,,,0,0,0,5,stable,informational,False
manfaat cysteamine,0,0,0,,16,0,16,0.0,0.0,,11.6,,,0,0,0,16,stable,informational,False
manfaat cysteamine untuk wajah,0,0,0,,6,0,6,0.0,0.0,,11.5,,,0,0,0,6,stable,informational,False
